Borough,District,Population,Householdswithchildrenunder18yearsold,RacialDiversityIndex,Populationaged65,Populationaged25withabachelorsdegreeorhigher,Populationaged25withouthighschooldiploma,Unemployment rate,PercentageUnemployment,Poverty Rate,PercentagePoverty,Food waste in tons,Foodscraps per person,Food waste per person in pounds,Median Household Income
1,1,148982,0.160962,0.447625,0.14291,0.809077,0.117118,,0,0.0884715,8.84715,192.8,0.04588770747,91.77541494,150081.3496
1,2,148982,0.160962,0.447625,0.14291,0.809077,0.185943,0.0473353,4.73353,0.0884715,8.84715,N/A,#VALUE!,#VALUE!,150081.3496
1,3,160490,0.162637,0.713279,0.194772,0.39374,0.151358,0.0486157,4.86157,0.272943,27.2943,N/A,#VALUE!,#VALUE!,41005.67472
1,4,152455,0.0836628,0.594312,0.134518,0.735944,0.162895,0.0473438,4.73438,0.137894,13.7894,N/A,#VALUE!,#VALUE!,105643.6872
1,5,152455,0.0836628,0.594312,0.134518,0.735944,0.365965,0.144522,14.4522,0.137894,13.7894,N/A,#VALUE!,#VALUE!,105643.6872
1,6,149674,0.0992196,0.497795,0.177826,0.806965,0.242671,0.0609514,6.09514,0.0801357,8.01357,199.9,0.04008789395,80.17578789,116419.2791
1,7,207134,0.207679,0.494147,0.200691,0.796099,0.226715,0.0521928,5.21928,0.0991088,9.91088,242.5,0.04086960825,81.73921649,128343.7011
1,8,214219,0.175083,0.419806,0.192411,0.836552,0.102861,0.055488,5.5488,0.0606219,6.06219,158.4,0.03827140152,76.54280303,136065.4144
1,9,136017,0.210884,0.725281,0.130837,0.447831,0.193905,0.207454,20.7454,0.227496,22.7496,319.2,0.07127067669,142.5413534,51845.49334
1,10,147442,0.263589,0.634306,0.113753,0.404862,0.24763,0.0522675,5.22675,0.235349,23.5349,N/A,#VALUE!,#VALUE!,50820.97302
1,11,128316,0.250312,0.640093,0.127981,0.272638,0.178012,0.0823274,8.23274,0.315459,31.5459,N/A,#VALUE!,#VALUE!,38090.60882
1,12,219998,0.233601,0.504313,0.14896,0.346883,0.0651637,0.0482465,4.82465,0.18721,18.721,N/A,#VALUE!,#VALUE!,58406.98141
2,1,156357,0.39301,0.467396,0.0868973,0.0971418,0.193484,0.0612156,6.12156,0.441854,44.1854,N/A,#VALUE!,#VALUE!,21719.00203
2,2,156357,0.39301,0.467396,0.0868973,0.0971418,0.118642,0.0585532,5.85532,0.441854,44.1854,N/A,#VALUE!,#VALUE!,21719.00203
2,3,188075,0.416202,0.511152,0.103432,0.133291,0.28639,0.088883,8.8883,0.358108,35.8108,N/A,#VALUE!,#VALUE!,26904.79446
2,4,149710,0.404053,0.449061,0.0848908,0.176039,0.156464,0.0897986,8.97986,0.364129,36.4129,N/A,#VALUE!,#VALUE!,32009.78549
2,5,148339,0.473295,0.434271,0.0798239,0.114868,0.277404,0.0425971,4.25971,0.364299,36.4299,N/A,#VALUE!,#VALUE!,31249.4236
2,6,188075,0.416202,0.511152,0.103432,0.133291,0.066158,0.0255133,2.55133,0.358108,35.8108,N/A,#VALUE!,#VALUE!,26904.79446
2,7,143540,0.483093,0.430527,0.0839418,0.171753,0.115197,0.0617861,6.17861,0.329467,32.9467,N/A,#VALUE!,#VALUE!,36624.78854
2,8,113242,0.301936,0.647067,0.191554,0.387317,0.103638,0.053268,5.3268,0.184964,18.4964,424.8,0.04354143126,87.08286252,55924.92814
2,9,187975,0.396083,0.593771,0.139199,0.183028,0.248212,0.025599,2.5599,0.246541,24.6541,N/A,#VALUE!,#VALUE!,41441.7951
2,10,113395,0.277344,0.691927,0.208325,0.284463,0.066158,0.0255133,2.55133,0.102201,10.2201,893.3,0.01144083734,22.88167469,61659.75573
2,11,120116,0.336305,0.701175,0.169836,0.246092,0.320539,0.125234,12.5234,0.163771,16.3771,N/A,#VALUE!,#VALUE!,49742.5851
2,12,150411,0.355518,0.492371,0.134219,0.230062,0.137427,0.0576741,5.76741,0.146058,14.6058,N/A,#VALUE!,#VALUE!,60883.8551
