Borough ID,District Number,Food waste in tons,Population,Food Waste per person,Food waste per person in pounds,Median Household Income,Populationaged65,PercentagePopulationaged65,Populationaged25withabachelorsdegreeorhigher,PercentagePopulationaged25withabachelorsdegreeorhigher,Populationaged25withouthighschooldiploma,PercentagePopulationaged25withouthighschooldiploma,Income Diversity Index,Unemployment rate,PercentageUnemployment,RacialDiversityIndex,Poverty Rate,PercentagePoverty,Householdswithchildrenunder18yearsold,Poverty Rate,PercentagePoverty,Householdswithchildrenunder18yearsold,PercentageHouseholdswithchildrenunder18yearsold
1,1,173.8,151979,0.001143579047,2.287158094,150600.7979,0.138545,13.8545,0.831329,83.1329,0.0493124,4.93124,6.504854369,0.0365743,3.65743,0.445724,0.0662483,6.62483,0.1697,0.0662483,6.62483,0.1697,16.97
1,4,280.8,165452,0.001697168967,3.394337935,102750.7469,0.14082,14.082,0.733121,73.3121,0.0484253,4.84253,9.651851852,0.0531443,5.31443,0.584941,0.111038,11.1038,0.114626,0.111038,11.1038,0.114626,11.4626
1,6,330.7,143582,0.002303213495,4.606426989,137127.7231,0.193959,19.3959,0.818122,81.8122,0.0267013,2.67013,8.042895442,0.0274129,2.74129,0.497315,0.0787418,7.87418,0.101177,0.0787418,7.87418,0.101177,10.1177
1,7,288.9,191222,0.001510809426,3.021618851,123835.5905,0.220393,22.0393,0.786002,78.6002,0.0577757,5.77757,8.842105263,0.0509233,5.09233,0.499047,0.0845944,8.45944,0.201193,0.0845944,8.45944,0.201193,20.1193
1,8,218.3,204469,0.001067643506,2.135287012,123709.5409,0.214879,21.4879,0.792073,79.2073,0.0201448,2.01448,5.553571429,0.0274598,2.74598,0.40615,0.0544296,5.44296,0.159944,0.0544296,5.44296,0.159944,15.9944
1,12,309.4,214040,0.001445524201,2.891048402,54887.48097,0.154938,15.4938,0.352388,35.2388,0.245535,24.5535,5.734417344,0.0826561,8.26561,0.478139,0.184013,18.4013,0.27788,0.184013,18.4013,0.27788,27.788
2,1,50.64,164003,0.0003087748395,0.617549679,26154.2735,0.090224,9.0224,0.125377,12.5377,0.336913,33.6913,5.38317757,0.14016,14.016,0.465807,0.376532,37.6532,0.386882,0.376532,37.6532,0.386882,38.6882
2,4,128.76,136636,0.0009423577974,1.884715595,33932.75307,0.121608,12.1608,0.147264,14.7264,0.31745,31.745,5.923076923,0.104663,10.4663,0.496067,0.323691,32.3691,0.363497,0.323691,32.3691,0.363497,36.3497
2,6,78.72,175456,0.000448659493,0.897318986,26910.3244323,0.0823505,8.23505,0.145174,14.5174,0.31763,31.763,6.520833333,0.133178,13.3178,0.526428,0.376576,37.6576,0.396604,0.376576,37.6576,0.396604,39.6604
2,8,718.9,119846,0.005998531449,11.9970629,55523.8281,0.185313,18.5313,0.385051,38.5051,0.185982,18.5982,7.417582418,0.0868696,8.68696,0.64299,0.188237,18.8237,0.300824,0.188237,18.8237,0.300824,30.0824
